timestamp,offset_m,curvature_m,confidence,steering_cmd,throttle_cmd,left_pixels,right_pixels
1775622534.421,0.0026,142.86,1.00,0.0000,0.000,18202,10247
1775622534.457,0.0028,186.84,1.00,0.0000,0.000,18074,9235
1775622534.496,-0.0244,155.90,1.00,0.0000,0.000,18280,12330
1775622534.542,-0.0055,62.43,1.00,0.0000,0.000,18709,9618
1775622534.578,0.0002,162.03,1.00,0.0000,0.000,17997,9842
1775622534.623,0.0021,114.33,1.00,0.0000,0.000,18015,9821
1775622534.658,0.0024,67.71,1.00,0.0000,0.000,18123,10005
1775622534.697,0.0024,348.52,1.00,0.0000,0.000,17886,9865
1775622534.738,0.0022,57.63,1.00,0.0000,0.000,18296,9729
1775622534.776,0.0025,78.94,1.00,0.0000,0.000,18160,9581
1775622534.811,0.0026,62.63,1.00,0.0000,0.000,18509,10292
1775622534.846,0.0026,49.85,1.00,0.0000,0.000,18515,9478
1775622534.883,0.0020,46.17,1.00,0.0000,0.000,18082,9488
1775622534.919,-0.0252,95.99,1.00,0.0000,0.000,18200,12166
1775622534.954,-0.0055,177.53,1.00,0.0000,0.000,17855,10266
1775622534.989,0.0009,83.11,1.00,0.0000,0.000,17698,10434
1775622535.023,0.0027,58.68,1.00,0.0000,0.000,17763,9511
1775622535.058,0.0030,124.36,1.00,0.0000,0.000,17889,10306
1775622535.093,0.0021,264.31,1.00,0.0000,0.000,17941,9817
1775622535.129,0.0024,80.66,1.00,0.0000,0.000,17842,9842
1775622535.171,0.0026,304.68,1.00,0.0000,0.000,18129,9996
1775622535.208,0.0024,70.59,1.00,0.0000,0.000,18441,9828
1775622535.246,0.0024,45.45,1.00,0.0000,0.000,18249,9504
1775622535.281,0.0027,80.11,1.00,0.0000,0.000,18648,10040
1775622535.317,0.0028,352.61,1.00,0.0000,0.000,18061,10231
1775622535.353,0.0025,43.01,1.00,0.0000,0.000,18374,10136
1775622535.392,0.0027,69.97,1.00,0.0000,0.000,18207,10036
1775622535.430,0.0021,601.49,1.00,0.0000,0.000,17918,9189
1775622535.469,0.0020,111.60,1.00,0.0000,0.000,18142,9680
1775622535.504,0.0020,232.85,1.00,0.0000,0.000,18120,9749
1775622535.539,0.0024,57.07,1.00,0.0000,0.000,18290,9697
1775622535.579,0.0025,119.55,1.00,0.0000,0.000,17913,9983
1775622535.614,0.0021,60.06,1.00,0.0000,0.000,18371,9557
1775622535.650,0.0029,1252.51,1.00,0.0000,0.000,18094,10209
1775622535.685,0.0030,419.60,1.00,0.0000,0.000,18036,10077
1775622535.719,0.0031,141.44,1.00,0.0000,0.000,18110,10224
1775622535.758,0.0029,75.16,1.00,0.0000,0.000,18212,10092
1775622535.798,0.0024,85.12,1.00,0.0000,0.000,18091,9546
1775622535.844,0.0026,116.56,1.00,0.0000,0.000,17990,10026
1775622535.879,0.0028,41.22,1.00,0.0000,0.000,17584,10009
1775622535.916,0.0026,434.79,1.00,0.0000,0.000,17998,9310
1775622535.952,0.0026,145.68,1.00,0.0000,0.000,18037,10433
1775622535.988,0.0029,355.76,1.00,0.0000,0.000,18091,10084
1775622536.023,0.0027,95.01,1.00,0.0000,0.000,17855,10193
1775622536.065,0.0024,90.82,1.00,0.0000,0.000,18308,9746
1775622536.101,0.0025,109.52,1.00,0.0000,0.000,18056,10285
1775622536.137,0.0029,94.95,1.00,0.0000,0.000,18329,9889
1775622536.172,0.0030,82.84,1.00,0.0000,0.000,17924,9972
1775622536.210,0.0030,47.04,1.00,0.0000,0.000,17879,9721
1775622536.246,0.0025,119.10,1.00,0.0000,0.000,18161,9550
1775622536.287,0.0022,58.72,1.00,0.0000,0.000,18152,9191
1775622536.322,0.0026,114.13,1.00,0.0000,0.000,18087,9756
1775622536.362,0.0026,291.83,1.00,0.0000,0.000,18113,10121
1775622536.399,0.0024,717.22,1.00,0.0000,0.000,18157,9322
1775622536.438,0.0024,141.55,1.00,0.0000,0.000,18204,8954
1775622536.475,0.0029,82.46,1.00,0.0000,0.000,18041,10387
1775622536.510,0.0023,52.33,1.00,0.0000,0.000,18299,10165
1775622536.546,0.0020,261.46,1.00,0.0000,0.000,18006,9598
1775622536.581,0.0022,100.14,1.00,0.0000,0.000,18152,9958
1775622536.618,0.0020,65.40,1.00,0.0000,0.000,18119,9591
1775622536.656,0.0022,108.99,1.00,0.0000,0.000,17889,9511
1775622536.692,0.0024,80.05,1.00,0.0000,0.000,18066,9774
1775622536.727,0.0022,63.56,1.00,0.0000,0.000,17960,10133
1775622536.761,0.0023,63.77,1.00,0.0000,0.000,18085,9802
1775622536.797,0.0022,49.99,1.00,0.0000,0.000,18093,10308
1775622536.833,0.0020,38.69,1.00,0.0000,0.000,18019,10274
1775622536.869,0.0022,47.73,1.00,0.0000,0.000,17895,9797
1775622536.906,0.0021,34.78,1.00,0.0000,0.000,18143,9741
1775622536.944,0.0021,34.79,1.00,0.0000,0.000,18099,10141
1775622536.979,0.0024,47.90,1.00,0.0000,0.000,18103,10006
1775622537.014,0.0025,42.11,1.00,0.0000,0.000,18262,9913
1775622537.050,0.0025,318.38,1.00,0.0000,0.000,18084,9296
1775622537.087,0.0025,114.84,1.00,0.0000,0.000,17629,9925
1775622537.125,0.0027,193.43,1.00,0.0000,0.000,17843,10230
1775622537.160,0.0023,154.82,1.00,0.0000,0.000,17924,9314
1775622537.196,0.0026,84.23,1.00,0.0000,0.000,18098,9453
1775622537.232,0.0023,75.96,1.00,0.0000,0.000,17927,10029
1775622537.267,0.0023,39.78,1.00,0.0000,0.000,18178,9983
1775622537.306,0.0024,42.82,1.00,0.0000,0.000,18104,10027
1775622537.343,0.0023,33.02,1.00,0.0000,0.000,17937,9951
1775622537.386,0.0022,71.07,1.00,0.0000,0.000,17716,9305
1775622537.422,0.0026,112.06,1.00,0.0000,0.000,18030,10136
1775622537.456,0.0022,43.16,1.00,0.0000,0.000,18047,9677
1775622537.493,0.0025,86.49,1.00,0.0000,0.000,17763,10187
1775622537.528,0.0021,55.10,1.00,0.0000,0.000,17841,9495
1775622537.565,0.0027,76.52,1.00,0.0000,0.000,17796,10216
1775622537.602,0.0025,30.16,1.00,0.0000,0.000,18204,10453
1775622537.641,0.0027,60.89,1.00,0.0000,0.000,17944,10199
1775622537.679,0.0026,66.64,1.00,0.0000,0.000,17888,10286
1775622537.715,0.0028,77.88,1.00,0.0000,0.000,17897,10234
1775622537.753,0.0025,44.84,1.00,0.0000,0.000,18199,9814
1775622537.790,0.0027,807.56,1.00,0.0000,0.000,17804,9652
1775622537.824,0.0023,274.11,1.00,0.0000,0.000,18289,10247
1775622537.859,0.0028,34.24,1.00,0.0000,0.000,17531,9975
1775622537.894,0.0028,66.53,1.00,0.0000,0.000,17845,9717
1775622537.930,0.0026,46.55,1.00,0.0000,0.000,18299,9842
1775622537.963,0.0024,37.06,1.00,0.0000,0.000,18177,9161
1775622538.001,0.0028,40.52,1.00,0.0000,0.000,17985,9983
1775622538.037,0.0023,32.16,1.00,0.0000,0.000,17963,10064
1775622538.074,0.0021,23.93,1.00,0.0000,0.000,18071,10181
1775622538.108,0.0021,26.92,1.00,0.0000,0.000,17880,9540
1775622538.144,0.0023,33.19,1.00,0.0000,0.000,17950,9531
1775622538.179,0.0024,94.48,1.00,0.0000,0.000,17869,9465
1775622538.217,0.0020,43.07,1.00,0.0000,0.000,18107,9294
1775622538.262,0.0022,44.16,1.00,0.0000,0.000,17978,9377
1775622538.299,0.0027,321.61,1.00,0.0000,0.000,17672,10312
1775622538.335,0.0026,74.86,1.00,0.0000,0.000,17588,10021
1775622538.372,0.0023,41.48,1.00,0.0000,0.000,18056,9840
1775622538.407,0.0023,27.13,1.00,0.0000,0.000,18447,9951
1775622538.444,0.0023,30.19,1.00,0.0000,0.000,18129,9324
1775622538.480,0.0024,24.76,1.00,0.0000,0.000,18285,9892
1775622538.516,0.0023,31.11,1.00,0.0000,0.000,18189,9694
1775622538.552,0.0022,53.63,1.00,0.0000,0.000,18227,9866
1775622538.590,0.0021,32.20,1.00,0.0000,0.000,18066,9476
1775622538.625,0.0022,29.70,1.00,0.0000,0.000,18182,10040
1775622538.662,0.0020,32.98,1.00,0.0000,0.000,18010,9863
1775622538.702,0.0019,26.84,1.00,0.0000,0.000,18067,9588
1775622538.736,0.0020,26.54,1.00,0.0000,0.000,18554,10136
1775622538.771,0.0020,32.61,1.00,0.0000,0.000,18158,9247
1775622538.805,0.0018,29.58,1.00,0.0000,0.000,18173,9961
1775622538.840,0.0023,54.07,1.00,0.0000,0.000,18014,9927
1775622538.877,0.0022,28.50,1.00,0.0000,0.000,18350,10044
1775622538.923,0.0023,26.75,1.00,0.0000,0.000,18307,9652
1775622538.957,0.0025,48.58,1.00,0.0000,0.000,18311,9647
1775622538.993,0.0028,80.21,1.00,0.0000,0.000,17981,10166
1775622539.030,0.0027,66.99,1.00,0.0000,0.000,17988,9898
1775622539.068,0.0022,41.03,1.00,0.0000,0.000,18221,9836
1775622539.106,0.0022,30.77,1.00,0.0000,0.000,18308,10265
1775622539.144,0.0024,39.84,1.00,0.0000,0.000,18266,10392
1775622539.180,0.0022,160.71,1.00,0.0000,0.000,18041,9979
1775622539.215,0.0030,177.19,1.00,0.0000,0.000,18191,9610
1775622539.252,0.0031,245.08,1.00,0.0000,0.000,18177,10138
1775622539.289,0.0025,200.85,1.00,0.0000,0.000,18111,9837
1775622539.327,0.0022,359.40,1.00,0.0000,0.000,18123,10019
1775622539.362,0.0025,61.55,1.00,0.0000,0.000,18257,9314
1775622539.396,0.0029,2023.54,1.00,0.0000,0.000,18250,9507
1775622539.433,0.0031,1225.94,1.00,0.0000,0.000,18202,10071
1775622539.469,0.0029,157.75,1.00,0.0000,0.000,18196,10003
1775622539.504,0.0024,1488.68,1.00,0.0000,0.000,17951,9783
1775622539.541,0.0027,51.21,1.00,0.0000,0.000,17928,10173
1775622539.583,0.0023,532.39,1.00,0.0000,0.000,17968,9425
1775622539.619,0.0026,124.69,1.00,0.0000,0.000,18077,9783
1775622539.656,0.0026,106.14,1.00,0.0000,0.000,18157,9938
1775622539.691,0.0023,43.14,1.00,0.0000,0.000,18212,10266
1775622539.726,0.0026,60.08,1.00,0.0000,0.000,18109,10123
1775622539.762,0.0029,194.41,1.00,0.0000,0.000,18169,10142
1775622539.802,0.0026,62.52,1.00,0.0000,0.000,18385,10231
1775622539.836,0.0025,149.68,1.00,0.0000,0.000,18436,9951
1775622539.873,0.0028,90.45,1.00,0.0000,0.000,18081,9668
1775622539.907,0.0026,128.04,1.00,0.0000,0.000,18079,9728
1775622539.943,0.0024,66.03,1.00,0.0000,0.000,18234,9455
1775622539.980,0.0020,42.05,1.00,0.0000,0.000,18058,9714
1775622540.022,0.0021,126.92,1.00,0.0000,0.000,18151,8994
1775622540.057,0.0025,230.11,1.00,0.0000,0.000,18188,9433
1775622540.093,0.0028,719.26,1.00,0.0000,0.000,18188,9556
1775622540.129,0.0028,512.67,1.00,0.0000,0.000,18292,9698
1775622540.166,0.0028,112.35,1.00,0.0000,0.000,17940,9713
1775622540.206,0.0024,88.09,1.00,0.0000,0.000,18079,9827
1775622540.245,0.0022,113.83,1.00,0.0000,0.000,17824,9833
1775622540.283,0.0023,43.72,1.00,0.0000,0.000,18194,9880
1775622540.321,0.0024,41.77,1.00,0.0000,0.000,17922,10095
1775622540.360,0.0022,29.02,1.00,0.0000,0.000,18138,10288
1775622540.406,0.0026,37.72,1.00,0.0000,0.000,18128,10305
1775622540.442,0.0027,45.44,1.00,0.0000,0.000,18129,10054
1775622540.480,0.0026,43.19,1.00,0.0000,0.000,18154,9861
1775622540.516,0.0024,33.59,1.00,0.0000,0.000,18229,9273
1775622540.554,0.0028,167.78,1.00,0.0000,0.000,17981,10038
1775622540.589,0.0026,209.94,1.00,0.0000,0.000,17994,10276
1775622540.632,0.0028,10375.97,1.00,0.0000,0.000,18172,10226
1775622540.667,0.0023,41.79,1.00,0.0000,0.000,18299,9186
1775622540.703,0.0020,26.56,1.00,0.0000,0.000,17957,9798
1775622540.738,0.0024,26.89,1.00,0.0000,0.000,18095,10047
1775622540.773,0.0024,36.94,1.00,0.0000,0.000,18183,9718
1775622540.808,0.0028,52.55,1.00,0.0000,0.000,18112,10027
1775622540.850,0.0028,41.70,1.00,0.0000,0.000,18351,10197
1775622540.886,0.0026,49.61,1.00,0.0000,0.000,18166,9875
1775622540.921,0.0023,29.12,1.00,0.0000,0.000,18438,10053
1775622540.958,0.0027,59.16,1.00,0.0000,0.000,18295,9803
1775622540.993,0.0025,60.69,1.00,0.0000,0.000,18109,10070
1775622541.027,0.0026,180.31,1.00,0.0000,0.000,18124,9904
1775622541.062,0.0031,82.04,1.00,0.0000,0.000,17940,9556
1775622541.097,0.0030,69.21,1.00,0.0000,0.000,17755,9921
1775622541.134,0.0028,54.14,1.00,0.0000,0.000,18331,9909
1775622541.171,0.0026,41.48,1.00,0.0000,0.000,18117,9441
1775622541.206,0.0020,37.59,1.00,0.0000,0.000,17791,9781
1775622541.242,0.0025,73.94,1.00,0.0000,0.000,17912,9693
1775622541.290,0.0028,3366.47,1.00,0.0000,0.000,17743,9926
1775622541.324,0.0024,344.68,1.00,0.0000,0.000,17782,9852
